B01001,Sex by Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,,Oregon,,"Lane County, OR",,"Eugene-Springfield, OR Metro Area",,97324,,97390,,97401,,97402,,97403,,97404,,97405,,97408,,97412,,97413,,97419,,97424,,97426,,97430,,97431,,97434,,97437,,97438,,97439,,97446,,97448,,97451,,97452,,97453,,97454,,97455,,97456,,97461,,97463,,97477,,97478,,97480,,97487,,97488,,97489,,97490,,97492,,97493,,97498,
,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error
70 to 74 years,6974459,15120,105663,1768,11035,511,11035,511,48,41,34,31,1296,270,1226,272,154,66,1011,166,1911,376,457,111,19,16,47,26,49,32,310,85,337,132,12,11,55,35,58,43,48,29,31,32,773,161,43,40,355,115,3,5,49,32,54,30,29,21,72,52,99,38,9,14,138,77,863,187,1213,238,13,17,222,99,74,40,41,37,16,17,34,25,52,36,150,59
75 to 79 years,4497179,12632,64738,1305,6236,380,6236,380,18,16,80,63,827,209,534,152,171,60,473,104,777,170,435,126,10,7,41,54,13,15,372,136,194,112,10,7,50,46,35,36,50,40,24,15,636,153,85,54,261,104,14,16,49,29,28,15,16,13,55,46,43,30,7,11,35,40,441,123,492,146,0,13,148,90,36,24,22,28,0,13,4,7,2,3,62,36
80 to 84 years,2708208,11049,36182,1143,3731,324,3731,324,15,17,40,51,385,111,453,156,41,29,176,72,592,123,149,64,2,3,4,6,20,18,150,55,112,57,7,7,0,13,27,44,39,30,5,8,366,107,30,41,199,69,28,45,25,29,49,32,17,14,58,46,0,13,0,13,8,17,244,99,372,136,7,6,174,115,7,10,0,13,0,13,6,8,17,19,35,32
85 years and over,2327915,11104,34418,1198,3405,376,3405,376,0,13,8,13,437,224,241,108,108,95,338,140,517,165,208,79,3,4,0,13,11,17,131,53,142,97,4,5,0,13,8,10,0,13,5,9,302,131,24,37,158,125,0,13,12,19,0,13,12,20,14,23,10,15,8,13,0,13,360,146,151,69,0,13,61,57,6,9,22,26,0,13,138,205,8,13,54,48
Female:,167842450,7054,2124865,980,193561,65,193561,65,545,135,385,210,25001,1332,26556,1139,8278,796,17028,836,23607,1200,7916,645,293,102,359,104,430,102,9255,540,5009,492,181,50,1111,343,298,118,1335,224,606,222,8363,504,2560,272,7406,687,258,124,823,199,487,109,531,149,1117,336,1812,332,326,175,2020,248,19116,934,19779,951,147,63,4457,460,287,104,389,171,210,115,488,248,236,75,1172,231
Under 5 years,9251463,4621,103455,428,8046,17,8046,17,6,8,0,13,672,217,1141,320,245,182,725,149,643,172,467,155,40,30,6,11,3,6,242,91,451,155,0,13,49,76,10,15,135,121,43,49,283,115,116,80,335,262,21,32,24,32,37,20,25,27,72,87,106,69,21,34,230,127,845,220,920,228,0,13,310,141,0,13,12,18,13,20,2,6,9,12,28,32
5 to 9 years,9806108,23635,112629,1979,9348,513,9348,513,12,15,0,13,772,219,1587,318,205,118,1045,210,1109,241,284,98,13,15,0,13,5,17,590,182,371,128,0,13,101,76,8,13,81,42,33,28,153,99,305,101,261,90,20,30,61,43,26,16,28,33,40,74,69,43,21,21,104,112,892,208,1353,274,0,13,120,80,0,13,15,19,6,9,44,68,0,13,25,33
10 to 14 years,10523916,24222,125667,2020,9466,512,9466,512,58,38,0,13,861,253,1335,304,237,109,1139,307,1259,277,440,157,21,18,15,14,27,20,419,136,190,95,0,13,63,53,9,14,11,19,9,10,205,130,128,72,475,139,0,13,75,43,15,18,6,10,51,60,172,88,0,13,139,104,800,222,1242,256,11,16,239,111,0,13,49,61,28,26,24,36,32,29,65,54
15 to 17 years,6369881,3462,74438,526,6118,64,6118,64,18,25,0,13,386,199,1191,240,136,87,609,191,970,242,244,124,0,13,14,16,16,19,404,121,264,114,0,13,60,58,0,13,97,82,36,38,141,65,163,105,154,110,10,14,17,21,3,4,10,14,41,50,71,55,0,13,0,13,551,157,716,224,1,3,61,54,0,13,0,13,9,15,5,9,0,13,0,13
18 and 19 years,4287138,5540,49240,607,6662,99,6662,99,12,17,0,13,1208,305,454,147,2515,311,406,127,448,182,218,122,0,13,8,14,0,13,135,91,76,55,0,13,0,13,0,13,40,49,0,13,110,86,0,13,210,133,1,7,0,13,0,13,4,7,0,13,23,38,0,13,0,13,455,182,314,188,4,6,76,79,0,13,0,13,0,13,9,13,1,4,49,31
20 years,2138956,13671,24981,1327,3856,782,3856,782,0,13,0,13,1912,688,199,116,454,231,130,94,394,297,33,37,0,13,0,13,0,13,39,35,23,28,0,13,0,13,2,4,14,24,6,11,1,5,21,30,204,179,17,22,0,13,0,13,0,13,0,13,46,34,0,13,0,13,240,127,134,73,0,13,16,20,0,13,0,13,0,13,2,3,36,35,24,30
