B15002,Sex by Educational Attainment for the Population 25 Years and Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,,Oregon,,"Lane County, OR",,"Eugene-Springfield, OR Metro Area",,97324,,97390,,97401,,97402,,97403,,97404,,97405,,97408,,97412,,97413,,97419,,97424,,97426,,97430,,97431,,97434,,97437,,97438,,97439,,97446,,97448,,97451,,97452,,97453,,97454,,97455,,97456,,97461,,97463,,97477,,97478,,97480,,97487,,97488,,97489,,97490,,97492,,97493,,97498,
,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error
5th and 6th grade,1236284,20572,11072,1049,557,225,557,225,0,13,0,13,0,28,48,42,0,21,62,68,0,28,0,21,0,13,0,13,0,13,7,22,6,9,0,13,0,13,0,13,0,13,0,13,6,10,0,13,13,19,0,13,0,13,0,13,0,13,0,13,5,9,0,13,0,13,298,166,53,67,11,16,66,93,0,13,0,13,0,13,0,13,0,13,0,13
7th and 8th grade,1301279,17943,9900,926,647,227,647,227,11,18,0,13,0,28,158,108,77,80,41,51,23,24,33,34,0,13,0,13,0,13,28,32,7,11,0,13,0,13,29,45,8,13,0,13,63,66,0,13,19,26,0,13,0,13,0,13,3,5,0,13,0,13,0,13,0,13,0,28,64,63,0,13,94,108,0,13,0,13,0,13,0,13,0,13,0,13
9th grade,1233427,20161,10985,922,730,194,730,194,9,14,0,13,49,46,147,92,0,21,3,10,0,28,23,38,0,13,0,13,0,13,75,84,17,28,0,13,0,13,0,13,10,15,0,13,85,63,0,13,10,15,0,13,2,6,0,13,3,5,0,13,105,92,0,13,0,13,120,78,108,71,12,19,51,58,0,13,15,23,0,13,0,13,0,13,0,13
10th grade,1396373,16701,15259,1115,1462,418,1462,418,0,13,0,13,24,36,218,120,76,53,92,63,71,84,105,157,0,13,0,13,0,13,68,42,7,17,7,7,20,31,27,42,25,41,24,36,149,95,63,64,80,72,0,13,22,32,13,16,15,24,0,13,76,76,77,125,19,31,154,108,106,75,4,5,39,31,5,9,15,23,0,13,0,13,0,13,0,13
11th grade,1637773,21068,17536,1031,1869,421,1869,421,9,8,0,13,203,108,493,339,57,56,82,47,41,34,89,70,0,13,0,13,0,13,97,62,16,18,2,3,0,13,0,13,9,16,0,13,62,47,9,14,31,33,0,13,18,21,4,6,0,13,32,34,50,54,0,13,46,48,312,142,269,161,0,13,0,19,0,13,0,13,0,13,1,3,0,13,17,24
"12th grade, no diploma",2007057,14813,22454,1239,2015,342,2015,342,0,13,0,13,90,64,387,156,89,69,129,74,91,54,26,22,0,13,0,13,4,9,215,130,102,66,5,7,69,94,0,13,0,13,0,13,117,77,57,66,7,13,0,13,12,14,4,8,0,13,0,13,3,4,0,13,27,41,338,144,269,140,0,13,27,28,6,9,0,13,0,13,1,3,0,13,18,20
High school graduate (includes equivalency),29154222,119211,324473,4678,28702,1152,28702,1152,156,78,111,70,2172,327,4447,564,265,115,3176,398,1769,309,633,143,62,37,14,13,67,35,1761,259,778,183,52,30,216,92,35,27,251,98,78,43,1442,227,472,159,1645,308,115,70,167,73,153,62,182,72,60,44,368,157,103,94,742,274,3089,391,4024,447,26,21,854,223,75,66,77,51,55,49,137,77,11,14,122,53
"Some college, less than 1 year",7650074,46416,128595,2641,12430,892,12430,892,53,31,61,65,1417,390,1775,358,115,68,856,185,871,238,529,164,30,20,37,30,21,21,811,214,471,161,12,8,50,45,28,19,51,37,78,53,1177,266,241,142,489,183,24,27,41,30,14,9,48,38,130,75,22,13,0,13,73,78,1565,286,1428,251,10,8,239,106,7,11,19,24,15,12,15,23,32,31,74,45
"Some college, 1 or more years, no degree",15193376,67793,244953,3731,23957,1002,23957,1002,72,38,32,35,2237,395,3592,524,421,149,1942,236,2187,324,1034,200,29,17,81,40,142,78,1426,233,532,190,29,20,84,56,41,28,146,69,106,48,1312,215,362,120,857,204,11,20,118,60,105,41,74,45,143,88,192,70,37,27,153,87,2965,424,2955,400,10,8,918,260,49,29,53,45,48,56,158,188,20,20,176,77
Associate's degree,11292219,28927,146443,3189,14921,922,14921,922,57,37,16,21,1604,390,2050,357,229,100,1463,237,1411,261,575,189,28,26,47,58,41,27,802,160,449,160,22,13,49,43,0,13,205,100,89,73,855,230,178,83,575,219,0,13,78,44,55,30,52,38,102,87,93,40,31,37,121,111,1851,296,1403,266,11,14,514,185,35,34,65,81,15,19,75,52,16,17,87,56
Bachelor's degree,25460260,96787,351910,4387,27770,1163,27770,1163,44,26,122,168,3834,426,3266,507,751,157,2707,409,5210,501,1481,241,29,14,81,33,78,43,1088,205,739,179,10,7,90,70,72,58,126,84,26,24,1337,250,246,134,1194,338,11,13,107,63,32,20,62,46,227,177,221,83,18,15,218,100,2009,292,2294,376,17,15,509,233,45,26,5,8,0,13,7,9,62,54,224,155
Master's degree,12751098,85001,164123,3447,15248,948,15248,948,11,9,43,38,2347,355,1697,264,845,333,1511,281,3600,448,1022,228,30,37,43,40,7,12,442,167,204,99,31,23,153,92,27,32,38,40,2,4,540,162,37,59,324,138,14,13,53,38,8,8,9,10,60,51,113,64,9,14,49,50,1029,259,891,239,12,19,121,95,51,31,47,71,21,23,5,10,6,7,170,90
Professional school degree,2355154,19836,32976,1245,2574,402,2574,402,3,5,0,13,430,154,309,193,135,65,170,58,662,190,245,100,0,13,6,9,19,21,70,51,36,31,0,13,17,26,0,13,17,21,0,13,104,60,0,13,0,21,2,4,14,20,3,5,0,13,25,39,2,4,0,13,0,13,180,85,81,61,0,13,15,18,6,10,17,26,0,13,0,13,11,12,50,45
Doctorate degree,1639280,17672,24517,1077,2331,316,2331,316,10,13,0,13,386,162,240,91,197,64,93,46,964,203,49,42,0,13,0,13,0,13,34,31,35,29,11,15,0,13,0,13,16,18,15,14,49,46,0,13,51,64,0,13,5,8,3,5,0,13,74,70,44,31,0,13,0,13,72,43,32,32,3,4,0,19,8,12,0,13,0,13,0,13,0,13,15,23
